"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2011","3.100","3.020","3.140","2.980","35.09M","1.31%"
"Nov 02, 2011","3.060","2.930","3.080","2.890","23.40M","5.15%"
"Nov 01, 2011","2.910","2.930","2.940","2.850","26.35M","-3.32%"
"Oct 31, 2011","3.010","3.080","3.080","2.980","14.91M","-2.90%"
"Oct 28, 2011","3.100","3.100","3.130","3.080","12.70M","0.32%"
"Oct 27, 2011","3.090","3.080","3.120","3.060","36.06M","1.98%"
"Oct 26, 2011","3.030","3.160","3.170","3.010","23.67M","-3.50%"
"Oct 25, 2011","3.140","3.150","3.210","3.120","25.50M","-0.95%"
"Oct 24, 2011","3.170","3.300","3.300","3.120","22.56M","-3.35%"
"Oct 21, 2011","3.280","3.240","3.300","3.220","23.08M","1.23%"
"Oct 20, 2011","3.240","3.340","3.370","3.240","17.12M","-3.86%"
"Oct 19, 2011","3.370","3.430","3.450","3.350","15.76M","-1.17%"
"Oct 18, 2011","3.410","3.400","3.430","3.360","23.94M","-0.29%"
"Oct 17, 2011","3.420","3.570","3.590","3.390","21.25M","-3.39%"
"Oct 14, 2011","3.540","3.530","3.560","3.510","18.14M","0.57%"
"Oct 13, 2011","3.520","3.580","3.630","3.490","14.23M","-1.95%"
"Oct 12, 2011","3.590","3.560","3.600","3.540","13.97M","1.41%"
"Oct 11, 2011","3.540","3.540","3.570","3.510","10.24M","0.28%"
"Oct 10, 2011","3.530","3.510","3.530","3.460","11.70M","1.44%"
"Oct 07, 2011","3.480","3.400","3.510","3.380","15.73M","2.96%"
"Oct 06, 2011","3.380","3.390","3.440","3.340","13.76M","0.90%"
"Oct 05, 2011","3.350","3.480","3.540","3.340","23.67M","-2.62%"
"Oct 04, 2011","3.440","3.650","3.670","3.430","24.11M","-5.75%"
"Oct 03, 2011","3.650","3.670","3.710","3.630","11.26M","-1.62%"
"Sep 30, 2011","3.710","3.650","3.710","3.570","22.03M","1.64%"
